Umbral,Average_Precision,AUC_ROC,F1,Precision,Recall,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.635,0.26471725698213616,0.7002153587720172,0.29599456890699255,0.29380053908355797,0.2982216142270862,0.5858274813842282,0.21807197426468858,65090,9432,9234,3924
0.6399999999999999,0.26471725698213616,0.7002153587720172,0.2903250894384819,0.29726071030418855,0.2837057303541572,0.5826421622973921,0.21807197426468858,65697,8825,9425,3733
0.6449999999999999,0.26471725698213616,0.7002153587720172,0.2822839704465146,0.2992508087859697,0.26713786289709684,0.5783436288533417,0.21807197426468858,66291,8231,9643,3515
0.6499999999999999,0.26471725698213616,0.7002153587720172,0.275527950310559,0.302674672489083,0.2528499772001824,0.5749972223028904,0.21807197426468858,66857,7665,9831,3327
0.6549999999999999,0.26471725698213616,0.7002153587720172,0.2661929020934115,0.3047740417606117,0.23628210974312205,0.5705577908689846,0.21807197426468858,67430,7092,10049,3109
0.6599999999999999,0.26471725698213616,0.7002153587720172,0.2555865303774503,0.3058997987501324,0.2194862441100471,0.5657762397920676,0.21807197426468858,67969,6553,10270,2888
0.6649999999999999,0.26471725698213616,0.7002153587720172,0.24598490048043925,0.30907209382545703,0.20428636570907432,0.5618262294716435,0.21807197426468858,68513,6009,10470,2688
0.6699999999999999,0.26471725698213616,0.7002153587720172,0.23533314377784095,0.3125629405840886,0.1887064903480772,0.5577130583835607,0.21807197426468858,69061,5461,10675,2483
0.6749999999999999,0.26471725698213616,0.7002153587720172,0.22237514746362563,0.31477873643195103,0.1719106247150023,0.552918088450467,0.21807197426468858,69598,4924,10896,2262
0.6799999999999999,0.26471725698213616,0.7002153587720172,0.2092007718086727,0.31517747858017137,0.15655874753001975,0.5482479736415564,0.21807197426468858,70046,4476,11098,2060
0.6849999999999999,0.26471725698213616,0.7002153587720172,0.19749973736737053,0.3197278911564626,0.14287885696914424,0.5446017161311731,0.21807197426468858,70522,4000,11278,1880
0.69,0.26471725698213616,0.7002153587720172,0.18297594426907587,0.3222776073619632,0.12775497796017632,0.5401596606877718,0.21807197426468858,70987,3535,11477,1681
0.695,0.26471725698213616,0.7002153587720172,0.16983152082042036,0.32839398561778166,0.11453108375132999,0.536587084507371,0.21807197426468858,71440,3082,11651,1507
0.7,0.26471725698213616,0.7002153587720172,0.157341235256522,0.33407352578337035,0.1029031767745858,0.5333428419768369,0.21807197426468858,71823,2699,11804,1354
