Umbral,F1,AUC_ROC,Average_Precision,Precision,Recall,Especificidad,Balanced_Accuracy,Brier,TN,FP,FN,TP
0.42999999999999994,0.3149220610521758,0.6915895017167712,0.2565553953059525,0.19156816909755375,0.884404924760602,0.34101339201846437,0.6127091583895332,0.22694498129081228,25413,49109,1521,11637
0.43499999999999994,0.31593929192155573,0.6915895017167712,0.2565553953059525,0.1926626942399813,0.8772609819121447,0.3509299267330453,0.614095454322595,0.22694498129081228,26152,48370,1615,11543
0.43999999999999995,0.31773963002539585,0.6915895017167712,0.2565553953059525,0.19436002784333034,0.8700410396716827,0.36323501784707873,0.6166380287593807,0.22694498129081228,27069,47453,1710,11448
0.44499999999999995,0.31924618521904224,0.6915895017167712,0.2565553953059525,0.19586863858353323,0.862593099255206,0.3747215587343335,0.6186573289947698,0.22694498129081228,27925,46597,1808,11350
0.4499999999999999,0.32109188927079024,0.6915895017167712,0.2565553953059525,0.19763338541758108,0.8555251557987537,0.38673143501247953,0.6211282954056165,0.22694498129081228,28820,45702,1901,11257
0.4549999999999999,0.3225675695238647,0.6915895017167712,0.2565553953059525,0.19923460719969957,0.8467092263261894,0.3991304581197499,0.6229198422229696,0.22694498129081228,29744,44778,2017,11141
0.4599999999999999,0.3239914762289661,0.6915895017167712,0.2565553953059525,0.20083079782097765,0.8377412980696154,0.4113952926652532,0.6245682953674343,0.22694498129081228,30658,43864,2135,11023
0.4649999999999999,0.32520373742499775,0.6915895017167712,0.2565553953059525,0.2023402674591382,0.827937376500988,0.4237138026354634,0.6258255895682256,0.22694498129081228,31576,42946,2264,10894
0.4699999999999999,0.3263073356265058,0.6915895017167712,0.2565553953059525,0.20378536954670198,0.8182854537163703,0.43549555835860554,0.6268905060374879,0.22694498129081228,32454,42068,2391,10767
0.4749999999999999,0.32760873910302735,0.6915895017167712,0.2565553953059525,0.20534664533662278,0.8096975224198206,0.44675397869085637,0.6282257505553385,0.22694498129081228,33293,41229,2504,10654
0.4799999999999999,0.32875729306417895,0.6915895017167712,0.2565553953059525,0.20683495603015076,0.8008055935552516,0.4577842784681034,0.6292949360116775,0.22694498129081228,34115,40407,2621,10537
0.48499999999999993,0.3296278088774005,0.6915895017167712,0.2565553953059525,0.20827237931103584,0.7898616811065512,0.4698478301709562,0.6298547556387537,0.22694498129081228,35014,39508,2765,10393
0.48999999999999994,0.3313525384317272,0.6915895017167712,0.2565553953059525,0.21037523067459504,0.7797537619699042,0.48323984863530234,0.6314968053026033,0.22694498129081228,36012,38510,2898,10260
0.49499999999999994,0.3330971643241996,0.6915895017167712,0.2565553953059525,0.21265226263858794,0.768201854385165,0.4977993075870213,0.6330005809860931,0.22694498129081228,37097,37425,3050,10108
0.49999999999999994,0.3352213344121911,0.6915895017167712,0.2565553953059525,0.21538428212459926,0.7556619547043624,0.5139556104237675,0.6348087825640649,0.22694498129081228,38301,36221,3215,9943
0.5049999999999999,0.33754008482466125,0.6915895017167712,0.2565553953059525,0.2182900722504683,0.7439580483356133,0.5296019967257991,0.6367800225307062,0.22694498129081228,39467,35055,3369,9789
0.5099999999999999,0.3387045478638821,0.6915895017167712,0.2565553953059525,0.22064917127071823,0.728454172366621,0.5457046241378385,0.6370793982522298,0.22694498129081228,40667,33855,3573,9585
0.5149999999999999,0.34143682546604165,0.6915895017167712,0.2565553953059525,0.22435530085959884,0.7140902872777017,0.5641018759560935,0.6390960816168976,0.22694498129081228,42038,32484,3762,9396
0.5199999999999999,0.34403901126618464,0.6915895017167712,0.2565553953059525,0.22809364548494984,0.6997264021887825,0.5818952792463971,0.6408108407175898,0.22694498129081228,43364,31158,3951,9207
