Fecha_Acc,Anio,Mes,Dia_Num,Dia_Semana,Es_Festivo,Nombre_Festivo,Siniestros
2018-12-30,2018,12,6,Domingo,False,,30
2018-12-31,2018,12,0,Lunes,False,,22
2019-01-01,2019,1,1,Martes,True,Año Nuevo,17
2019-01-02,2019,1,2,Miércoles,False,,29
2019-01-03,2019,1,3,Jueves,False,,25
2019-01-04,2019,1,4,Viernes,False,,31
2019-01-05,2019,1,5,Sábado,False,,36
2019-01-06,2019,1,6,Domingo,False,,19
2019-01-07,2019,1,0,Lunes,True,Día de los Reyes Magos (observado),12
2019-01-08,2019,1,1,Martes,False,,24
2019-01-09,2019,1,2,Miércoles,False,,32
2019-01-10,2019,1,3,Jueves,False,,23
2019-01-11,2019,1,4,Viernes,False,,34
2019-01-12,2019,1,5,Sábado,False,,30
2019-01-13,2019,1,6,Domingo,False,,18
2019-01-14,2019,1,0,Lunes,False,,26
2019-01-15,2019,1,1,Martes,False,,34
2019-01-16,2019,1,2,Miércoles,False,,34
2019-01-17,2019,1,3,Jueves,False,,34
2019-01-18,2019,1,4,Viernes,False,,38
2019-01-19,2019,1,5,Sábado,False,,36
2019-01-20,2019,1,6,Domingo,False,,33
2019-01-21,2019,1,0,Lunes,False,,53
2019-01-22,2019,1,1,Martes,False,,25
2019-01-23,2019,1,2,Miércoles,False,,30
2019-01-24,2019,1,3,Jueves,False,,27
2019-01-25,2019,1,4,Viernes,False,,31
2019-01-26,2019,1,5,Sábado,False,,49
2019-01-27,2019,1,6,Domingo,False,,29
2019-01-28,2019,1,0,Lunes,False,,31
2019-01-29,2019,1,1,Martes,False,,34
2019-01-30,2019,1,2,Miércoles,False,,39
2019-01-31,2019,1,3,Jueves,False,,38
2019-02-01,2019,2,4,Viernes,False,,41
2019-02-02,2019,2,5,Sábado,False,,37
2019-02-03,2019,2,6,Domingo,False,,30
2019-02-04,2019,2,0,Lunes,False,,44
2019-02-05,2019,2,1,Martes,False,,39
2019-02-06,2019,2,2,Miércoles,False,,33
2019-02-07,2019,2,3,Jueves,False,,30
2019-02-08,2019,2,4,Viernes,False,,43
2019-02-09,2019,2,5,Sábado,False,,42
2019-02-10,2019,2,6,Domingo,False,,27
2019-02-11,2019,2,0,Lunes,False,,40
2019-02-12,2019,2,1,Martes,False,,54
2019-02-13,2019,2,2,Miércoles,False,,40
2019-02-14,2019,2,3,Jueves,False,,43
2019-02-15,2019,2,4,Viernes,False,,54
2019-02-16,2019,2,5,Sábado,False,,33
2019-02-17,2019,2,6,Domingo,False,,15
2019-02-18,2019,2,0,Lunes,False,,40
2019-02-19,2019,2,1,Martes,False,,30
2019-02-20,2019,2,2,Miércoles,False,,38
2019-02-21,2019,2,3,Jueves,False,,41
2019-02-22,2019,2,4,Viernes,False,,34
2019-02-23,2019,2,5,Sábado,False,,37
2019-02-24,2019,2,6,Domingo,False,,22
2019-02-25,2019,2,0,Lunes,False,,33
2019-02-26,2019,2,1,Martes,False,,44
2019-02-27,2019,2,2,Miércoles,False,,35
2019-02-28,2019,2,3,Jueves,False,,38
2019-03-01,2019,3,4,Viernes,False,,38
2019-03-02,2019,3,5,Sábado,False,,42
2019-03-03,2019,3,6,Domingo,False,,31
2019-03-04,2019,3,0,Lunes,False,,45
2019-03-05,2019,3,1,Martes,False,,47
2019-03-06,2019,3,2,Miércoles,False,,50
2019-03-07,2019,3,3,Jueves,False,,51
2019-03-08,2019,3,4,Viernes,False,,37
2019-03-09,2019,3,5,Sábado,False,,43
2019-03-10,2019,3,6,Domingo,False,,33
2019-03-11,2019,3,0,Lunes,False,,37
2019-03-12,2019,3,1,Martes,False,,39
2019-03-13,2019,3,2,Miércoles,False,,36
2019-03-14,2019,3,3,Jueves,False,,36
2019-03-15,2019,3,4,Viernes,False,,58
2019-03-16,2019,3,5,Sábado,False,,39
2019-03-17,2019,3,6,Domingo,False,,28
2019-03-18,2019,3,0,Lunes,False,,50
2019-03-19,2019,3,1,Martes,False,,52
2019-03-20,2019,3,2,Miércoles,False,,37
2019-03-21,2019,3,3,Jueves,False,,59
2019-03-22,2019,3,4,Viernes,False,,38
2019-03-23,2019,3,5,Sábado,False,,43
2019-03-24,2019,3,6,Domingo,False,,23
2019-03-25,2019,3,0,Lunes,True,Día de San José (observado),28
2019-03-26,2019,3,1,Martes,False,,49
2019-03-27,2019,3,2,Miércoles,False,,37
2019-03-28,2019,3,3,Jueves,False,,45
2019-03-29,2019,3,4,Viernes,False,,37
2019-03-30,2019,3,5,Sábado,False,,35
2019-03-31,2019,3,6,Domingo,False,,20
2019-04-01,2019,4,0,Lunes,False,,37
2019-04-02,2019,4,1,Martes,False,,36
2019-04-03,2019,4,2,Miércoles,False,,43
2019-04-04,2019,4,3,Jueves,False,,39
2019-04-05,2019,4,4,Viernes,False,,48
2019-04-06,2019,4,5,Sábado,False,,37
2019-04-07,2019,4,6,Domingo,False,,21
2019-04-08,2019,4,0,Lunes,False,,39
2019-04-09,2019,4,1,Martes,False,,51
2019-04-10,2019,4,2,Miércoles,False,,48
2019-04-11,2019,4,3,Jueves,False,,50
2019-04-12,2019,4,4,Viernes,False,,45
2019-04-13,2019,4,5,Sábado,False,,29
2019-04-14,2019,4,6,Domingo,False,,23
2019-04-15,2019,4,0,Lunes,False,,33
2019-04-16,2019,4,1,Martes,False,,24
2019-04-17,2019,4,2,Miércoles,False,,34
2019-04-18,2019,4,3,Jueves,True,Jueves Santo,21
2019-04-19,2019,4,4,Viernes,True,Viernes Santo,10
2019-04-20,2019,4,5,Sábado,False,,15
2019-04-21,2019,4,6,Domingo,False,,19
2019-04-22,2019,4,0,Lunes,False,,35
2019-04-23,2019,4,1,Martes,False,,31
2019-04-24,2019,4,2,Miércoles,False,,41
2019-04-25,2019,4,3,Jueves,False,,45
2019-04-26,2019,4,4,Viernes,False,,39
2019-04-27,2019,4,5,Sábado,False,,35
2019-04-28,2019,4,6,Domingo,False,,25
2019-04-29,2019,4,0,Lunes,False,,40
2019-04-30,2019,4,1,Martes,False,,46
2019-05-01,2019,5,2,Miércoles,True,Día del Trabajo,32
2019-05-02,2019,5,3,Jueves,False,,48
2019-05-03,2019,5,4,Viernes,False,,39
2019-05-04,2019,5,5,Sábado,False,,38
2019-05-05,2019,5,6,Domingo,False,,24
2019-05-06,2019,5,0,Lunes,False,,48
2019-05-07,2019,5,1,Martes,False,,44
2019-05-08,2019,5,2,Miércoles,False,,45
2019-05-09,2019,5,3,Jueves,False,,42
2019-05-10,2019,5,4,Viernes,False,,39
2019-05-11,2019,5,5,Sábado,False,,42
2019-05-12,2019,5,6,Domingo,False,,32
2019-05-13,2019,5,0,Lunes,False,,42
2019-05-14,2019,5,1,Martes,False,,51
2019-05-15,2019,5,2,Miércoles,False,,35
2019-05-16,2019,5,3,Jueves,False,,40
2019-05-17,2019,5,4,Viernes,False,,40
2019-05-18,2019,5,5,Sábado,False,,38
2019-05-19,2019,5,6,Domingo,False,,19
2019-05-20,2019,5,0,Lunes,False,,38
2019-05-21,2019,5,1,Martes,False,,34
2019-05-22,2019,5,2,Miércoles,False,,40
2019-05-23,2019,5,3,Jueves,False,,43
2019-05-24,2019,5,4,Viernes,False,,47
2019-05-25,2019,5,5,Sábado,False,,38
2019-05-26,2019,5,6,Domingo,False,,31
2019-05-27,2019,5,0,Lunes,False,,25
2019-05-28,2019,5,1,Martes,False,,48
2019-05-29,2019,5,2,Miércoles,False,,39
2019-05-30,2019,5,3,Jueves,False,,43
2019-05-31,2019,5,4,Viernes,False,,50
2019-06-01,2019,6,5,Sábado,False,,41
2019-06-02,2019,6,6,Domingo,False,,34
2019-06-03,2019,6,0,Lunes,True,Ascensión del señor (observado),30
2019-06-04,2019,6,1,Martes,False,,43
2019-06-05,2019,6,2,Miércoles,False,,37
2019-06-06,2019,6,3,Jueves,False,,45
2019-06-07,2019,6,4,Viernes,False,,39
2019-06-08,2019,6,5,Sábado,False,,46
2019-06-09,2019,6,6,Domingo,False,,29
2019-06-10,2019,6,0,Lunes,False,,32
2019-06-11,2019,6,1,Martes,False,,41
2019-06-12,2019,6,2,Miércoles,False,,31
2019-06-13,2019,6,3,Jueves,False,,33
2019-06-14,2019,6,4,Viernes,False,,38
2019-06-15,2019,6,5,Sábado,False,,45
2019-06-16,2019,6,6,Domingo,False,,36
2019-06-17,2019,6,0,Lunes,False,,45
2019-06-18,2019,6,1,Martes,False,,34
2019-06-19,2019,6,2,Miércoles,False,,36
2019-06-20,2019,6,3,Jueves,False,,28
2019-06-21,2019,6,4,Viernes,False,,53
2019-06-22,2019,6,5,Sábado,False,,43
2019-06-23,2019,6,6,Domingo,False,,25
2019-06-24,2019,6,0,Lunes,True,Corpus Christi (observado),17
2019-06-25,2019,6,1,Martes,False,,43
2019-06-26,2019,6,2,Miércoles,False,,56
2019-06-27,2019,6,3,Jueves,False,,34
2019-06-28,2019,6,4,Viernes,False,,34
2019-06-29,2019,6,5,Sábado,False,,37
2019-06-30,2019,6,6,Domingo,False,,17
2019-07-01,2019,7,0,Lunes,True,Sagrado Corazón (observado); San Pedro y San Pablo (observado),18
2019-07-02,2019,7,1,Martes,False,,45
2019-07-03,2019,7,2,Miércoles,False,,38
2019-07-04,2019,7,3,Jueves,False,,35
2019-07-05,2019,7,4,Viernes,False,,32
2019-07-06,2019,7,5,Sábado,False,,36
2019-07-07,2019,7,6,Domingo,False,,34
2019-07-08,2019,7,0,Lunes,False,,38
2019-07-09,2019,7,1,Martes,False,,49
2019-07-10,2019,7,2,Miércoles,False,,46
2019-07-11,2019,7,3,Jueves,False,,42
2019-07-12,2019,7,4,Viernes,False,,36
2019-07-13,2019,7,5,Sábado,False,,42
2019-07-14,2019,7,6,Domingo,False,,24
