Repeticion,Average_Precision,AUC_ROC,Brier
158,0.00015118347890707984,-0.00099008871477968,0.07756815967681613
159,0.002650471181808667,-0.0007606465475423763,0.07797584936310639
160,0.003950543707979592,0.001098930587320912,0.07769369476087337
161,0.003992078249678677,0.0017434308706192336,0.07891760848018398
162,0.0006139780551956964,0.0006637498102295414,0.07974429658887972
163,0.0030924768690021587,-0.00019203187873395589,0.0763424196683957
164,-0.0008955840004410964,0.00013433582147270862,0.07656513087717448
165,0.0032450070279427257,0.0003077881879339772,0.07924835651405815
166,0.0024338725733088484,0.0006803000142903137,0.0792086517916708
167,0.0019415952274035586,0.0008170285243571662,0.07911011727174044
168,0.0009961574341833535,-0.00043631268517208,0.07993412811254771
169,0.001069115348716565,0.0003409609587153861,0.07697869326001239
170,-0.0016069402192588345,-0.0006589378397122703,0.07805744109278245
171,-0.0011538044376849799,-0.0004060918866455321,0.07800931337773753
172,-0.0017876538562283106,-0.000995522038465313,0.07838386781587656
173,0.00378940456898319,0.0013562192246580063,0.07828546393175134
174,0.00031478878035423596,-5.6153638336109424e-05,0.08067218424800382
175,-0.0009812970615382666,0.00013456505902786908,0.07939134202140766
176,0.0028146651510995158,0.00027423827451256155,0.07992007511225588
177,-0.0004084026155835585,-0.000637245222109728,0.07551405060704816
178,0.004329998441954808,0.0020098101768972754,0.07701619256782616
179,6.532621356419854e-05,-0.00019434287819231066,0.07778303100801728
180,0.00034367452306549584,0.0001388618213163939,0.07902155190000504
181,0.000896565626456125,-0.0002432459824894817,0.0764878095053389
182,0.004371324536492194,0.0029446426171260143,0.07669499605994942
183,0.006035082182334839,0.0029642372924404414,0.07767415798500613
184,0.00161276056873072,0.0005554093800537174,0.07910076800333779
185,0.0030774762649088405,-0.00040818114437424224,0.0787611654044337
186,0.00011656678280119737,-0.0010992072269196962,0.07768150879654168
187,0.0006609221787097219,0.00016069908472449157,0.07907360982932762
188,0.002112377617121519,0.0007196734401140326,0.07833881219208166
189,0.0008014937708894498,0.0008816230466878183,0.0785192325322073
190,0.0016461094771771378,0.00027476622186317634,0.07942957802645878
191,0.0020500181406725715,0.00132689899973093,0.07893280799199226
192,0.004143795125508387,0.0019266544338580882,0.08014367735516403
193,-0.00011742459825336837,-0.0022365505935928454,0.0776441333102604
194,0.001970249629693055,-0.0008951784680802932,0.07746403497319226
195,0.0042652267963014245,0.0015036935847789756,0.07680894789932846
