Localidad,Franja_Horaria,Dia_Semana,Tasa,Observaciones_Train
KENNEDY,Madrugada,Sunday,0.16923076923076924,260
KENNEDY,Madrugada,Thursday,0.06896551724137931,261
KENNEDY,Madrugada,Tuesday,0.07279693486590039,261
KENNEDY,Madrugada,Wednesday,0.06130268199233716,261
KENNEDY,Mañana,Friday,0.20689655172413793,261
KENNEDY,Mañana,Monday,0.1417624521072797,261
KENNEDY,Mañana,Saturday,0.18773946360153257,261
KENNEDY,Mañana,Sunday,0.06538461538461539,260
KENNEDY,Mañana,Thursday,0.2413793103448276,261
KENNEDY,Mañana,Tuesday,0.19157088122605365,261
KENNEDY,Mañana,Wednesday,0.20306513409961685,261
KENNEDY,Noche,Friday,0.16475095785440613,261
KENNEDY,Noche,Monday,0.12643678160919541,261
KENNEDY,Noche,Saturday,0.14942528735632185,261
KENNEDY,Noche,Sunday,0.08846153846153847,260
KENNEDY,Noche,Thursday,0.12260536398467432,261
KENNEDY,Noche,Tuesday,0.12643678160919541,261
KENNEDY,Noche,Wednesday,0.13026819923371646,261
KENNEDY,Tarde,Friday,0.20306513409961685,261
KENNEDY,Tarde,Monday,0.19540229885057472,261
KENNEDY,Tarde,Saturday,0.17624521072796934,261
KENNEDY,Tarde,Sunday,0.07692307692307693,260
KENNEDY,Tarde,Thursday,0.16091954022988506,261
KENNEDY,Tarde,Tuesday,0.18773946360153257,261
KENNEDY,Tarde,Wednesday,0.13026819923371646,261
LOS MÁRTIRES,Madrugada,Friday,0.10727969348659004,261
LOS MÁRTIRES,Madrugada,Monday,0.09195402298850575,261
LOS MÁRTIRES,Madrugada,Saturday,0.1417624521072797,261
LOS MÁRTIRES,Madrugada,Sunday,0.11153846153846154,260
LOS MÁRTIRES,Madrugada,Thursday,0.07279693486590039,261
LOS MÁRTIRES,Madrugada,Tuesday,0.04597701149425287,261
LOS MÁRTIRES,Madrugada,Wednesday,0.05747126436781609,261
LOS MÁRTIRES,Mañana,Friday,0.3831417624521073,261
LOS MÁRTIRES,Mañana,Monday,0.31800766283524906,261
LOS MÁRTIRES,Mañana,Saturday,0.2950191570881226,261
LOS MÁRTIRES,Mañana,Sunday,0.16923076923076924,260
LOS MÁRTIRES,Mañana,Thursday,0.32950191570881227,261
LOS MÁRTIRES,Mañana,Tuesday,0.32950191570881227,261
LOS MÁRTIRES,Mañana,Wednesday,0.3524904214559387,261
LOS MÁRTIRES,Noche,Friday,0.2835249042145594,261
LOS MÁRTIRES,Noche,Monday,0.18007662835249041,261
LOS MÁRTIRES,Noche,Saturday,0.31800766283524906,261
LOS MÁRTIRES,Noche,Sunday,0.1576923076923077,260
LOS MÁRTIRES,Noche,Thursday,0.23754789272030652,261
LOS MÁRTIRES,Noche,Tuesday,0.2260536398467433,261
LOS MÁRTIRES,Noche,Wednesday,0.3333333333333333,261
LOS MÁRTIRES,Tarde,Friday,0.3333333333333333,261
LOS MÁRTIRES,Tarde,Monday,0.26436781609195403,261
LOS MÁRTIRES,Tarde,Saturday,0.32950191570881227,261
LOS MÁRTIRES,Tarde,Sunday,0.17692307692307693,260
LOS MÁRTIRES,Tarde,Thursday,0.2950191570881226,261
LOS MÁRTIRES,Tarde,Tuesday,0.3524904214559387,261
LOS MÁRTIRES,Tarde,Wednesday,0.36398467432950193,261
PUENTE ARANDA,Madrugada,Friday,0.1724137931034483,261
PUENTE ARANDA,Madrugada,Monday,0.1724137931034483,261
PUENTE ARANDA,Madrugada,Saturday,0.3218390804597701,261
PUENTE ARANDA,Madrugada,Sunday,0.27307692307692305,260
PUENTE ARANDA,Madrugada,Thursday,0.19923371647509577,261
PUENTE ARANDA,Madrugada,Tuesday,0.18007662835249041,261
PUENTE ARANDA,Madrugada,Wednesday,0.15708812260536398,261
PUENTE ARANDA,Mañana,Friday,0.210727969348659,261
PUENTE ARANDA,Mañana,Monday,0.210727969348659,261
PUENTE ARANDA,Mañana,Saturday,0.13793103448275862,261
PUENTE ARANDA,Mañana,Sunday,0.046153846153846156,260
PUENTE ARANDA,Mañana,Thursday,0.19540229885057472,261
PUENTE ARANDA,Mañana,Tuesday,0.2222222222222222,261
PUENTE ARANDA,Mañana,Wednesday,0.19923371647509577,261
PUENTE ARANDA,Noche,Friday,0.18007662835249041,261
PUENTE ARANDA,Noche,Monday,0.12260536398467432,261
PUENTE ARANDA,Noche,Saturday,0.16091954022988506,261
PUENTE ARANDA,Noche,Sunday,0.07692307692307693,260
PUENTE ARANDA,Noche,Thursday,0.18773946360153257,261
PUENTE ARANDA,Noche,Tuesday,0.1417624521072797,261
PUENTE ARANDA,Noche,Wednesday,0.1417624521072797,261
PUENTE ARANDA,Tarde,Friday,0.18773946360153257,261
PUENTE ARANDA,Tarde,Monday,0.14559386973180077,261
PUENTE ARANDA,Tarde,Saturday,0.1417624521072797,261
PUENTE ARANDA,Tarde,Sunday,0.07307692307692308,260
PUENTE ARANDA,Tarde,Thursday,0.19923371647509577,261
PUENTE ARANDA,Tarde,Tuesday,0.1685823754789272,261
PUENTE ARANDA,Tarde,Wednesday,0.210727969348659,261
RAFAEL URIBE URIBE,Madrugada,Friday,0.1111111111111111,261
RAFAEL URIBE URIBE,Madrugada,Monday,0.06896551724137931,261
RAFAEL URIBE URIBE,Madrugada,Saturday,0.1111111111111111,261
RAFAEL URIBE URIBE,Madrugada,Sunday,0.14615384615384616,260
RAFAEL URIBE URIBE,Madrugada,Thursday,0.09195402298850575,261
RAFAEL URIBE URIBE,Madrugada,Tuesday,0.0842911877394636,261
RAFAEL URIBE URIBE,Madrugada,Wednesday,0.07662835249042145,261
RAFAEL URIBE URIBE,Mañana,Friday,0.3333333333333333,261
RAFAEL URIBE URIBE,Mañana,Monday,0.2950191570881226,261
RAFAEL URIBE URIBE,Mañana,Saturday,0.32567049808429116,261
RAFAEL URIBE URIBE,Mañana,Sunday,0.1576923076923077,260
RAFAEL URIBE URIBE,Mañana,Thursday,0.3371647509578544,261
RAFAEL URIBE URIBE,Mañana,Tuesday,0.367816091954023,261
RAFAEL URIBE URIBE,Mañana,Wednesday,0.3793103448275862,261
RAFAEL URIBE URIBE,Noche,Friday,0.2681992337164751,261
RAFAEL URIBE URIBE,Noche,Monday,0.2720306513409962,261
RAFAEL URIBE URIBE,Noche,Saturday,0.34099616858237547,261
RAFAEL URIBE URIBE,Noche,Sunday,0.25384615384615383,260
RAFAEL URIBE URIBE,Noche,Thursday,0.25287356321839083,261
RAFAEL URIBE URIBE,Noche,Tuesday,0.29118773946360155,261
RAFAEL URIBE URIBE,Noche,Wednesday,0.23754789272030652,261
RAFAEL URIBE URIBE,Tarde,Friday,0.06513409961685823,261
RAFAEL URIBE URIBE,Tarde,Monday,0.07279693486590039,261
